name,address,phone,website,rating,reviewsCount,category,hours,reviews
"Jalsa Indian and Ladakhi kitchen","Galleria Market, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","0124 411 8719","","3.6","3","Tibetan restaurant","Monday11 am–12 amSuggest new hours",""
"Shyam Vihari Food","near Huda metro, Sector 29, Gurugram, Haryana 122009","","","4.4","4","Restaurant","Monday6 am–11 pm",""
"The Gully Cafe","Sector 29, Gurugram, Haryana 122009","080778 03289","https://thegullycafe.co.in/","4.4","4","North Indian restaurant","Monday10:30 am–1 am",""
"The Gully Cafe","Sector 29, Gurugram, Haryana 122009","080778 03289","https://thegullycafe.co.in/","4.4","4","North Indian restaurant","Monday10:30 am–1 am",""
"Gung the palace","Plot No: 27, Sector 29, Near Signature Towers, Haryana 122009","098119 11925","https://gungthepalace.com/","4.4","4","Korean restaurant","Monday12–3 pm5:30–11 pm",""
"Gung the palace","Plot No: 27, Sector 29, Near Signature Towers, Haryana 122009","098119 11925","https://gungthepalace.com/","4.4","4","Korean restaurant","Monday12–3 pm5:30–11 pmSuggest new hours",""
"DHABA 29","SCO-29, Ground floor Sector 29, Market Road, Gurugram, Haryana 122009","0124 421 1181","http://dhaba29.com/","4.4","4","North Indian restaurant","Monday11 am–2 am",""
"DHABA 29","SCO-29, Ground floor Sector 29, Market Road, Gurugram, Haryana 122009","0124 421 1181","http://dhaba29.com/","4.4","4","North Indian restaurant","Monday11 am–2 amSuggest new hours",""
"Roots - Cafe in the Park","Leisure Valley Rd, Near Rajiv Gandhi Park, Sector 29, Gurugram, Haryana 122009","099711 34920","https://redcedarhospitality.com/","4.3","4","Cafe","Monday8 am–9 pm",""
"Cafe By Soul","B-11/1, Ashoka Cresent Marg, DLF Phase 1, Sector 26A, Gurugram, Haryana 122002","088268 56001","http://www.cafebysoul.com/","4.2","4","Cafe","Monday7:30 am–11 pm",""
"Cafe By Soul","B-11/1, Ashoka Cresent Marg, DLF Phase 1, Sector 26A, Gurugram, Haryana 122002","088268 56001","http://www.cafebysoul.com/","4.2","4","Cafe","Monday7:30 am–11 pm",""
"Burma Burma Restaurant & Tea Room","Tower C, DLF Cyber Hub, Shop No - 6 Ground Floor, DLF Cyber City, DLF Phase 3, Gurugram, Haryana 122002","099202 40188","https://www.burmaburma.in/","4.6","4","Burmese restaurant","Monday12–3:30 pm6:30–11 pmSuggest new hours",""
"FabHotel Golf Inn - Hotel in Sector 43, Gurgaon","Golf Inn, 637, Sector 43, Gurugram, Haryana 122009","070424 24242","https://www.fabhotels.com/hotels-in-gurgaon/fabhotel-golf-inn.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic","4.5","4","","",""
"East India Cuisine","3rd floor, hall no. 4, Vijaya shopping complex, Vakil market, DLF Phase 4, Sector 28, Chakkarpur, Gurugram, Haryana 122002","097738 34935","","4.9","4","Bengali restaurant","Monday12 pm–12 amSuggest new hours",""
"Long Finish by Ramen Donn","SF-28, 1st Floor, above Forest Essentials, Galleria Market, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","093110 39674","","4.2","4","Ramen restaurant","Monday12:30–4 pm6 pm–12 amSuggest new hours",""
"Downtown Diner & Fresh Beer Cafe","34, Leisure Valley Rd, Sector 29, Gurugram, Haryana 122009","095822 62545","https://downtownbrewery.in/","4.5","4","Brewery","Monday1 pm–2 amSuggest new hours",""
"Saltstayz Select - Huda City Center","Plot No. 8 C, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","095991 99608","https://saltstayz.com/listing/saltstayz-hotel-huda-city-center/","4.7","4","","",""
"Saltstayz Select - Huda City Center","Plot No. 8 C, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","095991 99608","https://saltstayz.com/listing/saltstayz-hotel-huda-city-center/","4.7","4","","",""
"Tossin Pizza Galleria Market","First Floor, SF-114, Galleria Market, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","084700 00052","https://tossinpizza.com/order/galleria-market-gurgaon","4.4","4","Pizza restaurant","Monday12–6 am11 am–12 amSuggest new hours",""
"China Garden Gurgaon, Gurugram","Trillium Avenue, Sector 29, Gurugram, Haryana 122009","092209 08473","https://www.zomato.com/ncr/china-garden-sector-29-gurgaon/info","4.4","4","Chinese restaurant","Monday12–11 pmSuggest new hours",""
"Dhaba Estd 1986 Delhi, Cyber Hub","Shop No. 111, 1st Floor, Cyber Hub, behind RBS, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002","085279 00779","http://dhaba1986.com/","3.9","3","North Indian restaurant","Monday12–11:30 pmSuggest new hours",""
"Aliste Hotels, Millenium City Centre Gurugram","583, B Block Dr, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","078077 55494","http://www.alistehotels.com/","4.8","4","","",""
"Bloom - Golf Course Road","609, Golf Course Rd, near Novo Healthcare Ltd, Sector 42, Gurugram, Haryana 122009","0124 448 8815","https://staybloom.com/hotels/gurugram/bloom-golf-course-road","4.8","4","","",""
"Big Pitcher Brewery - Gurugram","MLCP, Trillium Avenue, Sector 29, Gurugram, Haryana 122009","072908 82288","","4.6","4","Brewery","Monday12 pm–12 amSuggest new hours",""
"Bikanervala | JMD Empire Square Gurugram","First Floor, JMD Empire Square, Mehrauli-Gurgaon Rd, A Block, DLF Phase 1, Sector 24, Gurugram, Haryana 122002","098215 91142","https://bikanervala.com/pages/jmd-empire-gurugram","4.2","4","Family restaurant","Monday11 am–10:30 pmSuggest new hours",""
"ITC Grandbharat, Aravali Pavilion - Restaurants In Gurgaon","P.O, Hasanpur Tauru, Gurugram, Bissar Akbarpur, Haryana 122105","01267 285 500","https://www.itchotels.in/hotels/gurgaon/itcgrandbharat/dining/aravali-pavilion.html?utm_source=google&utm_medium=organic%20Search&utm_term=itcgrandbharat%20Restaurants&utm_campaign=listing","4.4","4","Family restaurant","Monday7 am–11 pmSuggest new hours",""
"Chull Club","Leisure Valley Rd, above वेयरहाउस कैफे, Sector 29, Gurugram, Haryana 122009","","https://www.facebook.com/chullgurgaon/","3.6","3","Bar","",""
"Pizzeria da Susy","109-110, 1st floor, Crosspoint Mall, Hamilton Ct Rd, Sector 28, DLF City IV, Gurugram, Haryana 122009","099589 12406","http://www.dasusy.com/","4.4","4","Italian restaurant","Monday12–10 pm",""
"Pizzeria da Susy","109-110, 1st floor, Crosspoint Mall, Hamilton Ct Rd, Sector 28, DLF City IV, Gurugram, Haryana 122009","099589 12406","http://www.dasusy.com/","4.4","4","Italian restaurant","Monday12–10 pmSuggest new hours",""
"Jagdish Vaishno Dhaba","Opp Gurgaon Dreams Mall Near Sector 7&4 Chowk, Old Railway Rd, Gurugram, Haryana 122001","0124 428 9655","","3.7","3","Dhaba","Monday8:30 am–11 pmSuggest new hours",""
"Delhicacy","SF 14, First Floor, Galleria Commercial Complex, DLF Phase 4, Gurugram, Haryana 122009","0120 384 3127","","4.1","4","Fast food restaurant","Monday10:30 am–10:30 pmSuggest new hours",""
"Blue Tokai Coffee Roasters | ROF Portico","Ground Floor, ROF PORTICO, SN 7 & 8, Phase -1, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","095990 87748","https://stores.bluetokaicoffee.com/blue-tokai-coffee-roasters-rof-portico-cafe-sushant-lok-gurugram-446559/Home?utm_source=locator&utm_medium=googleplaces","4.3","4","Coffee shop","Monday7 am–11 pm",""
"Blue Tokai Coffee Roasters | ROF Portico","Ground Floor, ROF PORTICO, SN 7 & 8, Phase -1, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","095990 87748","https://stores.bluetokaicoffee.com/blue-tokai-coffee-roasters-rof-portico-cafe-sushant-lok-gurugram-446559/Home?utm_source=locator&utm_medium=googleplaces","4.3","4","Coffee shop","Monday7 am–11 pmSuggest new hours",""
"Club Decode","SCO 39, First Floor, Sector 29, Gurugram, Haryana 122009","099536 59502","https://www.instagram.com/decodeairbar/?hl=en","4.4","4","Cocktail bar","Monday2 pm–2 am",""
"Club Decode","SCO 39, First Floor, Sector 29, Gurugram, Haryana 122009","099536 59502","https://www.instagram.com/decodeairbar/?hl=en","4.4","4","Cocktail bar","Monday2 pm–2 amSuggest new hours",""
"The Grammar Room","The Grammar Room, 32nd Milestone, HLGF 5, Sector 15 Part 2, Sector 15, Gurugram, Haryana 122001","084485 91781","http://www.thegrammarrom.in/","4.1","4","Restaurant","Monday11 am–12 amSuggest new hours",""
"FES Cafe & Desserts","SF-07, 10, I floor, Galleria Market, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","0124 411 6976","http://www.fescafe.in/","4.2","4","Cafe","Monday9 am–12 amSuggest new hours",""
"Anya Gurgaon","42, Golf Course Rd, DLF Phase 5, Sector 43, Gurugram, Haryana 122009","1800 572 2692","http://www.anyahotels.com/","4","4","","",""
"The Palms Town & Country Club","Phase 1, BLOCK-B, The Palms Town & Country Club, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","0124 419 9900","http://www.thepalms.in/","4.2","4","","",""
"Perch Arbor Suites","C 988, Block C Dr, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","084484 44240","https://www.theperch.in/properties/perch-arbor","4.1","4","","",""
"DLF One Horizon Center, Gurugram","One Horizon Center, Golf Course Rd, Harizan Colony, DLF Phase 5, Sector 43, Gurugram, Haryana 122002","0124 492 9159","https://www.dlf.in/offices/gurugram/dlf-horizon-center","4.7","4","Business center","Monday10 am–8 pmSuggest new hours",""
"72 SINGH DHABA","CRPF Rd, Sector 62, Gurugram, Ghata, Haryana 122098","087459 00072","","4.3","4","Dhaba","Monday11 am–2 amSuggest new hours",""
"Bakingo","Unit 3, 505-506, near Supermart 2, Block C2, DLF Phase IV, Sector 43, Gurugram, Haryana 122009","088825 53333","https://www.bakingo.com/cakes/gurgaon?utm_source=google&utm_medium=local&utm_campaign=505-506near_supermart_2","4.5","4","Cake shop","Monday7 am–11:30 pmSuggest new hours",""
