name,address,phone,website,rating,reviewsCount,category,hours,reviews
"Claypot Kitchens","SCO-23, Housing Board Shopping Complex, opposite Maruti Vihar Exit Gate Road, near Mehrauli-Gurgaon Road, Saraswati Vihar, Chakkarpur, Gurugram, Haryana 122002","093112 12800","","4.9","436","North Indian restaurant","","[object Object],[object Object],[object Object]"
"Cosy Box","Ground Floor, Golf Course Rd, Harizan Colony, DLF Phase 5, Sector 43, Gurugram, Haryana 122009","097089 39495","https://cosybox.in/","4.4","210","Mediterranean restaurant","Monday12 pm–12 amTuesday12 pm–12 amWednesday12 pm–12 amThursday12 pm–12 amFriday12 pm–12 amSaturday12 pm–12 amSunday12 pm–12 amSuggest new hours","[object Object],[object Object],[object Object]"
"Kogai- Fine Japanese Dining","Ground Floor, Global Foyer Mall, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","088264 19388","","4.8","789","Restaurant","Monday12–3 pm5:30–10:30 pmTuesday12–3 pm5:30–10:30 pmWednesday12–3 pm5:30–10:30 pmThursday12–3 pm5:30–10:30 pmFriday12–3 pm5:30–10:30 pmSaturday12–3 pm5:30–10:30 pmSunday12–3 pm5:30–10:30 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Kogai- Fine Japanese Dining","Ground Floor, Global Foyer Mall, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","088264 19388","","4.8","789","Restaurant","Monday12–3 pm5:30–10:30 pmTuesday12–3 pm5:30–10:30 pmWednesday12–3 pm5:30–10:30 pmThursday12–3 pm5:30–10:30 pmFriday12–3 pm5:30–10:30 pmSaturday12–3 pm5:30–10:30 pmSunday12–3 pm5:30–10:30 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Carnatic Cafe","HQ 27, SECTOR 27, Sector 43, Gurugram, Haryana 122009","098710 83530","https://www.instagram.com/carnaticcafeindia/","4.6","145","Restaurant","Monday9 am–10:30 pmTuesday9 am–10:30 pmWednesday9 am–10:30 pmThursday9 am–10:30 pmFriday9 am–10:30 pmSaturday9 am–10:30 pmSunday9 am–10:30 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Carnatic Cafe","HQ 27, SECTOR 27, Sector 43, Gurugram, Haryana 122009","098710 83530","https://www.instagram.com/carnaticcafeindia/","4.6","145","Restaurant","Monday9 am–10:30 pmTuesday9 am–10:30 pmWednesday9 am–10:30 pmThursday9 am–10:30 pmFriday9 am–10:30 pmSaturday9 am–10:30 pmSunday9 am–10:30 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Vietnam-ease Càphê","Unit 32, GF, Global Foyer Mall, Sector 43, Gurugram, Haryana 122009","084488 48212","http://vietnamease.com/","4.6","49","Asian restaurant","Monday12–3:30 pm6–11 pmTuesday12–3:30 pm6–11 pmWednesday12–3:30 pm6–11 pmThursday12–3:30 pm6–11 pmFriday12–3:30 pm6–11 pmSaturday12–3:30 pm6–11 pmSunday12–3:30 pm6–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Another Fine Day Cafe & Reading Room","Ground Floor, Golf Course Rd, DLF Phase 5, Sector 43, Gurugram, Haryana 122009","0124 438 6155","http://www.anotherfineday.net/","4.4","1688","Cafe","Monday10 am–10 pmTuesday10 am–10 pmWednesday10 am–10 pmThursday10 am–10 pmFriday10 am–10 pmSaturday10 am–10 pmSunday10 am–10 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Sidewok Restaurant","Ground Floor, DLF Phase V, Golf Course Rd, Sector 54, Gurugram, Haryana 122009","0124 438 6133","http://www.sidewok.in/","4.4","1132","Pan-Asian restaurant","Monday12–11:30 pmTuesday12–11:30 pmWednesday12–11:30 pmThursday12–11:30 pmFriday12–11:30 pmSaturday12–11:30 pmSunday12–11:30 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Sidewok Restaurant","Ground Floor, DLF Phase V, Golf Course Rd, Sector 54, Gurugram, Haryana 122009","0124 438 6133","http://www.sidewok.in/","4.4","1132","Pan-Asian restaurant","Monday12–11:30 pmTuesday12–11:30 pmWednesday12–11:30 pmThursday12–11:30 pmFriday12–11:30 pmSaturday12–11:30 pmSunday12–11:30 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Porche","1 &2, Golf Avenue, SCO, 42, Golf Course Rd, Sector 42, Gurugram, Haryana 122009","092205 70444","https://www.porche.co.in/","4.6","381","Brewpub","","[object Object],[object Object],[object Object]"
"Parat","LGF, Sushant shopping arcade, D- 003, B Block Dr, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","074017 40128","","4.3","236","Indian restaurant","","[object Object],[object Object],[object Object]"
"KUURAKU","15, Global Foyer, Global Foyer Mall, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","098180 55080","https://kuuraku.in/","4.5","2072","Japanese restaurant","","[object Object],[object Object],[object Object]"
"KUURAKU","15, Global Foyer, Global Foyer Mall, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","098180 55080","https://kuuraku.in/","4.5","2072","Japanese restaurant","","[object Object],[object Object],[object Object]"
"Kitchen District","Find Dining food avenue, Hyatt Regency, 1st Floor, Sector 83, Gurugram, Haryana 122012","0124 502 1234","https://www.hyattrestaurants.com/en/gurugram/restaurant/kitchen-district","4","206","Buffet restaurant","Monday6:30 am–11:30 pmTuesday6:30 am–11:30 pmWednesday6:30 am–11:30 pmThursday6:30 am–11:30 pmFriday6:30 am–11:30 pmSaturday6:30 am–11:30 pmSunday6:30 am–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"One8 Commune - Golf Course Road","Unit No. 4 Ground Floor, The Statement Baani, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","072830 00018","https://one8commune.co.in/","4.2","182","Restaurant","Monday12:30 pm–12 amTuesday12:30 pm–12 amWednesday12:30 pm–12 amThursday12:30 pm–12 amFriday12:30 pm–12 amSaturday12:30 pm–12 amSunday12:30 pm–12 amSuggest new hours","[object Object],[object Object],[object Object]"
"Cafe Dakia","ROF PORTICO I, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","088820 06127","","4.5","407","Pizza restaurant","","[object Object],[object Object],[object Object]"
"Kansi","E- 33, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","098540 83083","","4.4","74","Restaurant","","[object Object],[object Object],[object Object]"
"Garden Grub Cafe","B-711, 4th Floor, opposite Huda City Centre, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","","","3.7","6","Cafe","Monday6 am–11 pmTuesday6 am–11 pmWednesday6 am–11 pmThursday6 am–11 pmFriday6 am–11 pmSaturday6 am–11 pmSunday9 am–8 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Garden Grub Cafe","B-711, 4th Floor, opposite Huda City Centre, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","","","3.7","6","Cafe","Monday6 am–11 pmTuesday6 am–11 pmWednesday6 am–11 pmThursday6 am–11 pmFriday6 am–11 pmSaturday6 am–11 pmSunday9 am–8 pmSuggest new hours","[object Object],[object Object],[object Object]"
"COVAH The Cavern","Unit 03, F33W+PJW The Statement Baani, Sector 43, Gurugram, Haryana 122009","092664 50404","http://www.covahindia.com/","4","616","Bar","Monday12 pm–1 amTuesday12 pm–1 amWednesday12 pm–1 amThursday12 pm–1 amFriday12 pm–2 amSaturday12 pm–2 amSunday12 pm–1 amSuggest new hours","[object Object],[object Object],[object Object]"
"COVAH The Cavern","Unit 03, F33W+PJW The Statement Baani, Sector 43, Gurugram, Haryana 122009","092664 50404","http://www.covahindia.com/","4","616","Bar","Monday12 pm–1 amTuesday12 pm–1 amWednesday12 pm–1 amThursday12 pm–1 amFriday12 pm–2 amSaturday12 pm–2 amSunday12 pm–1 amSuggest new hours","[object Object],[object Object],[object Object]"
"1900 AD A Kitchen Love Story","Block B, Sector 43, Gurugram, Haryana 122009","090157 03000","","4.5","80","Biryani restaurant","Monday7 am–12 amTuesday7 am–12 amWednesday7 am–12 amThursday7 am–12 amFriday7 am–12 amSaturday7 am–12 amSunday7 am–12 amSuggest new hours","[object Object],[object Object],[object Object]"
"1900 AD A Kitchen Love Story","Block B, Sector 43, Gurugram, Haryana 122009","090157 03000","","4.5","80","Biryani restaurant","Monday7 am–12 amTuesday7 am–12 amWednesday7 am–12 amThursday7 am–12 amFriday7 am–12 amSaturday7 am–12 amSunday7 am–12 amSuggest new hours","[object Object],[object Object],[object Object]"
"Whisky Samba | Best Bar & Restaurant in Gurugram","Shop No. 103,104 Two Horizon Center, DLF Phase 5, Sector 43, Gurugram, Haryana 122009","095605 65959","https://whiskysamba.co.in/","4.3","4551","Bar & grill","Monday12 pm–2 amTuesday12 pm–2 amWednesday12 pm–2 amThursday12 pm–2 amFriday12 pm–3 amSaturday12 pm–3 amSunday12 pm–2 amSuggest new hours","[object Object],[object Object],[object Object]"
"Karim's Mughal Palace","Ground Floor Shop, Global Foyer Mall, 4, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","0124 411 6222","","3.8","468","Mughlai restaurant","","[object Object],[object Object],[object Object]"
"Karim's Mughal Palace","Ground Floor Shop, Global Foyer Mall, 4, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","0124 411 6222","","3.8","468","Mughlai restaurant","","[object Object],[object Object],[object Object]"
"Manhattan Bar & Brewery","1st Floor Global Foyer Mall Unit 001, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","088006 97549","http://manhattanbrewery2013.in/","4.4","11046","Brewpub","Monday1 pm–1 amTuesday1 pm–1 amWednesday1 pm–1 amThursday1 pm–1 amFriday1 pm–2 amSaturday1 pm–2 amSunday1 pm–1 amSuggest new hours","[object Object],[object Object],[object Object]"
"Manhattan Bar & Brewery","1st Floor Global Foyer Mall Unit 001, Golf Course Rd, Sector 43, Gurugram, Haryana 122009","088006 97549","http://manhattanbrewery2013.in/","4.4","11046","Brewpub","Monday1 pm–1 amTuesday1 pm–1 amWednesday1 pm–1 amThursday1 pm–1 amFriday1 pm–2 amSaturday1 pm–2 amSunday1 pm–1 amSuggest new hours","[object Object],[object Object],[object Object]"
"Jalsa Restaurant","F-11/9, Golf Course Road, गोल्फ कोर्स मार्ग, opp. Arjun Marg, DLF Phase 1, Sector 27, Gurugram, Haryana 122009","0124 425 7952","","4","5216","Tibetan restaurant","Monday11 am–12 amTuesday11 am–12 amWednesday11 am–12 amThursday11 am–12 amFriday11 am–12 amSaturday11 am–12 amSunday11 am–12 amSuggest new hours","[object Object],[object Object],[object Object]"
"Lord of the Juices","Shop no, 37, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","099969 12135","","4.3","127","Fast food restaurant","Monday9 am–11 pmTuesday9 am–11 pmWednesday9 am–11 pmThursday9 am–11 pmFriday9 am–11 pmSaturday9 am–11 pmSunday9 am–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Lord of the Juices","Shop no, 37, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","099969 12135","","4.3","127","Fast food restaurant","Monday9 am–11 pmTuesday9 am–11 pmWednesday9 am–11 pmThursday9 am–11 pmFriday9 am–11 pmSaturday9 am–11 pmSunday9 am–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Comorin","101, First Floor, Two Horizon Center, DLF Phase 5, Sector 43, Gurugram, Haryana 122009","0124 498 4224","","4.5","3662","Modern Indian restaurant","Monday12 pm–12 amTuesday12 pm–12 amWednesday12 pm–12 amThursday12 pm–12 amFriday12 pm–1 amSaturday12 pm–1 amSunday12 pm–12 amSuggest new hours","[object Object],[object Object],[object Object]"
"Comorin","101, First Floor, Two Horizon Center, DLF Phase 5, Sector 43, Gurugram, Haryana 122009","0124 498 4224","","4.5","3662","Modern Indian restaurant","Monday12 pm–12 amTuesday12 pm–12 amWednesday12 pm–12 amThursday12 pm–12 amFriday12 pm–1 amSaturday12 pm–1 amSunday12 pm–12 amSuggest new hours","[object Object],[object Object],[object Object]"
"threesixtyone°","The Oberoi, Gurgaon, 443, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016","0124 245 1234","https://www.oberoihotels.com/hotels-in-gurgaon/dining/threesixtyone/?utm_source=GMBlisting&utm_medium=organic","4.7","1245","Coffee shop","Monday9 am–11 pmTuesday9 am–11 pmWednesday9 am–11 pmThursday9 am–11 pmFriday9 am–11 pmSaturday9 am–11 pmSunday9 am–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"threesixtyone°","The Oberoi, Gurgaon, 443, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016","0124 245 1234","https://www.oberoihotels.com/hotels-in-gurgaon/dining/threesixtyone/?utm_source=GMBlisting&utm_medium=organic","4.7","1245","Coffee shop","Monday9 am–11 pmTuesday9 am–11 pmWednesday9 am–11 pmThursday9 am–11 pmFriday9 am–11 pmSaturday9 am–11 pmSunday9 am–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"The Barbeque Company","Sco - 305, Block C, South City I, Sector 29, Gurugram, Haryana 122009","084485 43002","https://www.barbequenation.com/","4.2","8979","Barbecue restaurant","Monday12–11:30 pmTuesday12–11:30 pmWednesday12–11:30 pmThursday12–11:30 pmFriday12–11:30 pmSaturday12–11:30 pmSunday12–11:30 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Cilantro","443, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016","0124 245 0505","http://www.tridenthotels.com/hotels-in-gurgaon/restaurant-in-gurgaon/dining-cilantro","4.5","436","Fine dining restaurant","Monday7 am–11 pmTuesday7 am–11 pmWednesday7 am–11 pmThursday7 am–11 pmFriday7 am–11 pmSaturday7 am–11 pmSunday7 am–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Cilantro","443, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016","0124 245 0505","http://www.tridenthotels.com/hotels-in-gurgaon/restaurant-in-gurgaon/dining-cilantro","4.5","436","Fine dining restaurant","Monday7 am–11 pmTuesday7 am–11 pmWednesday7 am–11 pmThursday7 am–11 pmFriday7 am–11 pmSaturday7 am–11 pmSunday7 am–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Bloom Hotel - Golf Course Road, Sector 43","584, Golf Course Rd, near SYS Developers, Sector 43, Gurugram, Haryana 122009","0124 411 4420","https://staybloom.com/hotels/gurugram/bloom-hotel-sector-43","4.9","1440","","",""
"Bloom Hotel - Golf Course Road, Sector 43","584, Golf Course Rd, near SYS Developers, Sector 43, Gurugram, Haryana 122009","0124 411 4420","https://staybloom.com/hotels/gurugram/bloom-hotel-sector-43","4.9","1440","","",""
"Mustard Madras - Sector 29, Gurgaon","Second Floor, 344-P, above Dasaprakash Restaurant, Sector 29, Gurugram, Haryana 122009","097739 94881","https://mustardmadras.com/","4.7","1183","South Indian restaurant","Monday11 am–11 pmTuesday11 am–11 pmWednesday11 am–11 pmThursday11 am–11 pmFriday11 am–11 pmSaturday11 am–11 pmSunday11 am–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Mustard Madras - Sector 29, Gurgaon","Second Floor, 344-P, above Dasaprakash Restaurant, Sector 29, Gurugram, Haryana 122009","097739 94881","https://mustardmadras.com/","4.7","1183","South Indian restaurant","Monday11 am–11 pmTuesday11 am–11 pmWednesday11 am–11 pmThursday11 am–11 pmFriday11 am–11 pmSaturday11 am–11 pmSunday11 am–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Cena Pranzo","Grand Hyatt, Cena Pranzo, Golf Course Rd, Sector 58, Gurugram, Haryana 122098","088000 21048","https://www.hyattrestaurants.com/en/gurugram/restaurant/cena-pranzo-italian-trattoria-grand-hyatt-gurgaon?src=GMB","4.7","322","Italian restaurant","","[object Object],[object Object],[object Object]"
"Cactus lily","SF- 52, First Floor, DLF Galleria Rd, Galleria Market, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","092055 54854","","4.4","896","Sandwich shop","Monday11 am–11 pmTuesday11 am–11 pmWednesday11 am–11 pmThursday11 am–11 pmFriday11 am–11 pmSaturday11 am–11 pmSunday11 am–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Cactus lily","SF- 52, First Floor, DLF Galleria Rd, Galleria Market, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","092055 54854","","4.4","896","Sandwich shop","Monday11 am–11 pmTuesday11 am–11 pmWednesday11 am–11 pmThursday11 am–11 pmFriday11 am–11 pmSaturday11 am–11 pmSunday11 am–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"ROF PORTICO","I, Vyapar Kendra Rd, Sushant Lok, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","099990 36154","","4.3","827","Shopping mall","Monday9 am–10 pmTuesday9 am–10 pmWednesday9 am–10 pmThursday9 am–10 pmFriday9 am–10 pmSaturday9 am–10 pmSunday9 am–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"ROF PORTICO","I, Vyapar Kendra Rd, Sushant Lok, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","099990 36154","","4.3","827","Shopping mall","Monday9 am–10 pmTuesday9 am–10 pmWednesday9 am–10 pmThursday9 am–10 pmFriday9 am–10 pmSaturday9 am–10 pmSunday9 am–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Under The Neem","Karma Lakelands, Sector 80, Gurugram, Haryana 122012","096252 91720","https://karmachalets.co.in/under-the-neem","4.4","2854","Restaurant","","[object Object],[object Object],[object Object]"
"Under The Neem","Karma Lakelands, Sector 80, Gurugram, Haryana 122012","096252 91720","https://karmachalets.co.in/under-the-neem","4.4","2854","Restaurant","","[object Object],[object Object],[object Object]"
"Alwar Sweets & Namkeen","Shop No.GF-40, opposite Mother Dairy, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","0124 238 5031","","3.8","2228","Indian sweets shop","Monday9 am–10 pmTuesday9 am–10 pmWednesday9 am–10 pmThursday9 am–10 pmFriday9 am–10 pmSaturday9 am–10 pmSunday9 am–10 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Alwar Sweets & Namkeen","Shop No.GF-40, opposite Mother Dairy, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","0124 238 5031","","3.8","2228","Indian sweets shop","Monday9 am–10 pmTuesday9 am–10 pmWednesday9 am–10 pmThursday9 am–10 pmFriday9 am–10 pmSaturday9 am–10 pmSunday9 am–10 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Takashi Sushi Bar & Japanese Restaurant Gurugram","Trilium Avenue Mall, Sector 29, nearest Metro Huda city center, Haryana 122009","092209 08473","","4.6","388","Sushi restaurant","Monday12–3:30 pm6–11 pmTuesday12–3:30 pm6–11 pmWednesday12–3:30 pm6–11 pmThursday12–3:30 pm6–11 pmFriday12–3:30 pm6–11 pmSaturday12–3:30 pm6–11 pmSunday12–3:30 pm6–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Takashi Sushi Bar & Japanese Restaurant Gurugram","Trilium Avenue Mall, Sector 29, nearest Metro Huda city center, Haryana 122009","092209 08473","","4.6","388","Sushi restaurant","Monday12–3:30 pm6–11 pmTuesday12–3:30 pm6–11 pmWednesday12–3:30 pm6–11 pmThursday12–3:30 pm6–11 pmFriday12–3:30 pm6–11 pmSaturday12–3:30 pm6–11 pmSunday12–3:30 pm6–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Grotto - Pizzeria|Coffee Shop","SF - 090, First floor, Galleria Market, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","099109 08290","https://grottopizzeria.in/","4.8","1781","Italian restaurant","Monday12 pm–12 amTuesday12 pm–12 amWednesday12 pm–12 amThursday12 pm–12 amFriday12 pm–12 amSaturday12 pm–12 amSunday12 pm–12 amSuggest new hours","[object Object],[object Object],[object Object]"
"Grotto - Pizzeria|Coffee Shop","SF - 090, First floor, Galleria Market, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","099109 08290","https://grottopizzeria.in/","4.8","1781","Italian restaurant","Monday12 pm–12 amTuesday12 pm–12 amWednesday12 pm–12 amThursday12 pm–12 amFriday12 pm–12 amSaturday12 pm–12 amSunday12 pm–12 amSuggest new hours","[object Object],[object Object],[object Object]"
"Burma Burma Restaurant & Tea Room","Tower C, DLF Cyber Hub, Shop No - 6 Ground Floor, DLF Cyber City, DLF Phase 3, Gurugram, Haryana 122002","099202 40188","https://www.burmaburma.in/","4.6","3660","Burmese restaurant","Monday12–3:30 pm6:30–11 pmTuesday12–3:30 pm6:30–11 pmWednesday12–3:30 pm6:30–11 pmThursday12–3:30 pm6:30–11 pmFriday12–3:30 pm6:30–11 pmSaturday12–4 pm6:30–11 pmSunday12–4 pm6:30–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Burma Burma Restaurant & Tea Room","Tower C, DLF Cyber Hub, Shop No - 6 Ground Floor, DLF Cyber City, DLF Phase 3, Gurugram, Haryana 122002","099202 40188","https://www.burmaburma.in/","4.6","3660","Burmese restaurant","Monday12–3:30 pm6:30–11 pmTuesday12–3:30 pm6:30–11 pmWednesday12–3:30 pm6:30–11 pmThursday12–3:30 pm6:30–11 pmFriday12–3:30 pm6:30–11 pmSaturday12–4 pm6:30–11 pmSunday12–4 pm6:30–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"Veer Da Chappar","metro pillar no 19, Shop no 2 , 1st floor, Mehrauli-Gurgaon Rd, opposite rapid, near City court, Sikanderpur, Gurugram, Haryana 122002","097738 80222","https://veerdachappar.com/","4.6","2183","Family restaurant","Monday12–6 am12 pm–12 amTuesday12–6 am12 pm–12 amWednesday12–6 am12 pm–12 amThursday12–6 am12 pm–12 amFriday12–6 am12 pm–12 amSaturday12–6 am12 pm–12 amSunday12–6 am12 pm–12 amSuggest new hours","[object Object],[object Object],[object Object]"
"Downtown Kitchen & Bar","Courtyard By Marriott, 27, B Block Dr, Sushant Lok Phase I, Sector 27, Gurugram, Haryana 122009","","","3.4","9","Buffet restaurant","Monday6:30 am–11 pmTuesday6:30 am–11 pmWednesday6:30 am–11 pmThursday6:30 am–11 pmFriday6:30 am–11 pmSaturday6:30 am–11 pmSunday6:30 am–11 pmSuggest new hours","[object Object],[object Object],[object Object]"
"The Joint Cafe","Shop No. 100, 1st Floor, Complex, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","095999 92444","https://www.instagram.com/jointcafegurgaon/?hl=en","4.4","363","Cafe","","[object Object],[object Object],[object Object]"
"The Pasta Bowl Company","2nd Floor, Crosspoint Mall, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","","http://www.thepastabowlcompany.com/","4.4","1614","Italian restaurant","Monday10:30 am–11:30 pmTuesday10:30 am–11:30 pmWednesday10:30 am–11:30 pmThursday10:30 am–11:30 pmFriday10:30 am–11:30 pmSaturday10:30 am–11:30 pmSunday10:30 am–11:30 pmSuggest new hours","[object Object],[object Object],[object Object]"
"The Pasta Bowl Company","2nd Floor, Crosspoint Mall, Sector 28, DLF Phase IV, Gurugram, Haryana 122009","","http://www.thepastabowlcompany.com/","4.4","1614","Italian restaurant","Monday10:30 am–11:30 pmTuesday10:30 am–11:30 pmWednesday10:30 am–11:30 pmThursday10:30 am–11:30 pmFriday10:30 am–11:30 pmSaturday10:30 am–11:30 pmSunday10:30 am–11:30 pmSuggest new hours","[object Object],[object Object],[object Object]"
